,dv-switch-day,dv-rate-ly5,dv-rate-ly3,dv-rate-ly1
base,308.0,1.0,1.0,1.0
5,398.2534825298704,0.33428288398053896,1.7130709461742815,0.1650599118692222
9,333.4623659674446,0.11169519166333264,1.6183845915526112,1.367963730781125
13,495.5883927099579,1.7752319197001873,0.931825375579441,1.5554217549264837
18,490.5728822066475,1.391879360872221,1.923911827086407,0.10725551861025817
37,319.26469299521216,1.6419375697403176,1.8747674161059973,1.8991943714323765
58,366.77716807228785,0.32276594875586806,0.10205684408590732,1.60596455169288
77,310.81667459587413,1.5173975509338862,1.4297059902246592,1.675314579928485
88,359.9822595883128,0.7874246271856025,1.0403098385457146,0.5048855304898199
108,398.81024517344133,1.6396886312965044,1.5431062045646182,1.3524371560979234
125,348.99313479192523,0.38790589335559544,0.1857677990169646,0.20484131293380692
137,384.0740144334592,0.6859350046440833,0.24010213352583287,0.05480271223268285
151,459.3766296423915,0.43067506602189254,0.6163851396412294,1.1994957344243025
169,367.30242542348736,0.2615819385841096,0.6510115320734877,0.9089346746502214
174,469.976164623172,0.8609086004199333,0.0035549516182813434,1.906570414091022
176,467.76274170975626,0.8206177663941809,0.9093606394200915,0.015142957638611954
193,344.57739214137666,1.7375501780730513,0.2410123012790566,1.2140900321888626
190,367.9735595488038,1.2693416419522987,0.22049832871642816,0.3904477041912069
2,407.15415197692744,1.3136561784136298,0.48752521792818415,0.2947763618328212
22,427.8678730397485,0.14314366872251805,1.6142240015770744,1.8792816253505722
39,464.5551528094238,1.781583720901608,1.3783558544280117,0.7590368271403687
40,328.91546534636404,1.8192920741800294,1.0260654391459199,1.0146349875220186
42,335.2701232955826,1.9169325829857398,1.3372893255522489,1.6992501853651076
50,345.3957668516843,0.3647504259179255,1.577157384857224,1.7669119177408261
87,320.48896692799644,0.5137720497512785,1.2769076695576655,1.1111457489989107
102,372.80915215588146,0.6045137098061544,0.5632027094156158,0.7167669196523245
116,421.848670085228,0.4241685184197661,0.28183571932433815,0.0536968701934335
122,356.85125607503153,1.6837821036431777,1.020191671778312,0.08026037148115872
132,413.29969998033414,0.8848531160623656,0.3538892633696664,0.7430459944590753
144,496.00622452085713,0.7811004281950806,1.9926673638947192,1.6176842595410668
155,357.3374014385125,0.44611017723509283,1.549446906240693,1.886224256893435
157,383.42049167298535,0.8309675723815038,1.1090850291479244,0.34679275492230643
167,449.0358498523656,1.3740316378563744,1.005536573673408,1.4141841722019486
191,492.11402462085414,0.8863749660711466,1.134312085173655,0.7161596382172812
6,352.0691250417292,0.6277153828646671,0.834161989221117,1.3847087287312134
25,328.93411172184835,1.1583122317815095,1.2946021110989425,0.14795893459574883
46,496.46602599886035,1.2981607702359,1.685658461337626,0.7092549157009906
48,392.9646171384442,1.6963859753988315,0.06707757799613034,0.3807858944835787
49,424.8580628057439,1.5327484424117108,1.847152112029267,0.612907664277633
92,309.9826726843807,0.6986529010255107,0.27231862916989424,0.5325769477310851
133,496.8861847412553,0.7046932825025987,0.7598946782758338,0.16878605151022974
135,433.7985815491911,0.2841043906800207,0.8814781417760285,0.8547113354801747
152,412.21834572050085,1.4934303629610133,1.8928787453019682,0.3542743579222063
162,461.5100427009293,0.5367662174419305,1.9969693573499603,0.016747119037621827
180,484.821721188298,0.34643035044128534,0.5663936560552261,0.24699370455041914
183,476.75424617122576,1.7635219222220726,0.43566959907566916,0.45695181464617507
0,428.002227139874,1.7735457804817172,0.12588174963081467,0.16711509491705412
1,389.61145802654454,0.8311095350143769,1.3793382695130771,0.7591614117162417
3,319.3976871133498,0.026820559377566555,0.15757841706052877,1.695716238679764
4,325.76936634138457,0.47555056019191433,1.4545637622444267,0.2539741865935583
7,365.1124045578998,0.5250779317825125,1.5199158035307831,0.35570189873114066
10,336.15498831546324,1.7623487962543534,1.824399161448705,0.7143735218303175
11,497.4640510081931,1.6957575354217784,0.11665924212671852,1.9591822752545458
12,451.29330657739933,0.14800713203622307,1.2284847021552436,0.06685340420489205
14,361.5969951239016,0.24274454948607183,0.8323175721114455,0.9894016370156049
15,350.66827175419553,0.207059343829898,1.9277271163366025,0.25267483478202735
16,378.5132694549504,0.12348995537707874,0.17019369155164132,0.21608362810262838
17,323.4317317421295,0.8119943012856226,1.289550975375464,1.7222167462506597
19,309.2202866144937,1.0892023119978234,0.6123475891936987,1.3402735623127735
20,429.81231132716294,1.4217742551401655,0.5603938622619122,1.1200914576010044
